x,y,shade_hours,shade_pct,dist_to_crescent_m,dist_to_edge_m,dist_to_tree_m,trees_within_10m,trees_within_20m,canopy_overhead,under_crescent_walk,under_gridshell,zone,category,albedo,sky_view_factor,summer_heat_index_c,comfort_gain_c,comfort_band,n_summer_hours_sampled
120.5,0.5,121.055,2.75,46.110933635971676,0.5,39.98410408847005,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
121.5,0.5,121.055,2.75,46.355827545922246,0.5,40.17033530159951,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.81018853220216,0.21298563159344042,Danger,1058
122.5,0.5,110.05000000000001,2.5,46.604507896183534,0.5,40.3804791542678,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.82956110814314,0.19361305565246312,Danger,1058
123.5,0.5,88.04,2.0,46.86106403396052,0.5,40.61416446528946,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
124.5,0.5,99.045,2.25,47.122778618871436,0.5,40.87098743239397,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
125.5,0.5,99.045,2.25,47.38555953729247,0.5,41.15051484713442,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
126.5,0.5,99.045,2.25,47.656229261538115,0.5,41.45228739972687,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
127.5,0.5,99.045,2.25,47.93413837518278,0.5,41.77582302187331,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.84893162604027,0.17424253775533316,Danger,1058
128.5,0.5,88.04,2.0,48.21099069076683,0.5,42.120620219082774,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
129.5,0.5,88.04,2.0,48.49574549221166,0.5,42.48616134843826,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
130.5,0.5,88.04,2.0,48.788400012935654,0.5,42.76926647710026,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
131.5,0.5,88.04,2.0,49.08012083861714,0.5,42.983176391317116,0,0,0,0,0,Al Kathib — the dune berm,Green_Buffer,0.18,1.0,64.86830008904886,0.15487407474674342,Danger,1058
